genes,state
AC005017.1,0.0
AC005019.1,0.5555555560000001
AC005034.3,0.015873016
AC005035.1,0.015873016
AC005041.1,0.0
AC005042.1,0.0
AC005062.1,0.0
AC005064.1,0.0
AC005070.1,0.031746032
AC005072.1,0.0
AC005076.1,0.015873016
AC005082.1,0.031746032
AC005083.1,0.063492063
AC005086.1,0.0
AC005089.1,0.0
AC005094.1,0.0
AC005099.1,0.333333333
AC005154.1,0.031746032
AC005154.3,0.0
AC005156.1,0.0
AC005162.3,0.0
AC005165.2,0.9523809520000001
AC005176.1,0.0
AC005224.3,0.0
AC005224.4,0.0
AC005225.4,0.0
AC005225.5,0.0
AC005229.1,0.047619048
AC005229.2,0.031746032
AC005229.4,0.0
AC005244.1,0.0
AC005253.1,0.079365079
AC005253.2,0.0
AC005255.1,0.0
AC005261.2,0.047619048
AC005261.4,0.031746032
AC005261.6,0.0
AC005262.1,0.174603175
AC005280.1,0.0
AC005300.1,0.0
AC005306.1,0.079365079
AC005329.1,0.0
AC005329.2,0.0
AC005332.1,0.0
AC005332.6,0.015873016
AC005332.7,0.015873016
AC005332.8,0.031746032
AC005332.9,0.047619048
AC005336.2,0.158730159
AC005358.2,0.0
AC005363.2,0.015873016
AC005383.1,0.0
AC005410.1,0.063492063
AC005412.1,0.0
AC005412.2,0.206349206
AC005476.1,0.0
AC005480.1,0.0
AC005480.2,0.095238095
AC005498.2,0.0
AC005517.2,0.063492063
AC005519.1,0.253968254
AC005520.2,0.0
AC005521.1,0.523809524
AC005522.1,0.0
AC005523.2,0.079365079
AC005531.1,0.0
AC005532.2,0.0
AC005534.2,0.23809523800000001
AC005537.1,0.0
AC005540.1,0.015873016
AC005546.1,0.0
AC005550.2,0.587301587
AC005550.3,0.0
AC005578.1,0.0
AC005586.2,0.0
AC005587.1,0.015873016
AC005614.1,0.0
AC005616.1,0.0
AC005632.3,0.063492063
AC005668.1,0.047619048
AC005696.2,0.0
AC005696.3,0.0
AC005699.1,0.0
AC005702.1,0.015873016
AC005725.1,0.015873016
AC005726.1,0.0
AC005726.2,0.031746032
AC005726.4,0.015873016
AC005726.5,0.0
AC005726.6,0.015873016
AC005730.3,0.063492063
AC005736.1,0.0
AC005740.1,0.0
AC005740.4,0.0
AC005785.1,0.031746032
AC005786.1,0.428571429
AC005786.2,0.0
AC005786.3,0.015873016
AC005786.4,0.0
AC005790.1,0.015873016
AC005822.1,0.015873016
AC005837.1,0.0
AC005837.3,0.0
AC005838.2,0.0
AC005839.1,0.0
AC005840.1,3.968253968
AC005840.3,0.015873016
AC005840.5,0.031746032
AC005841.1,0.0
AC005856.1,0.0
AC005863.1,0.0
AC005884.1,0.0
AC005884.2,0.0
AC005885.1,0.031746032
AC005899.1,0.0
AC005899.6,0.015873016
AC005899.8,0.0
AC005906.1,0.015873016
AC005906.2,0.0
