"410.6, 520.8","15, 17",pink
"410.6, 550.8","15, 18",green
"410.6, 580.8","15, 19",green
"410.6, 610.8","15, 20",blue
"410.6, 640.8","15, 21",blue
"410.6, 670.8","15, 22",blue
"410.6, 700.8","15, 23",blue
"439.6, 40.8","16, 1",pink
"439.6, 70.8","16, 2",grey
"439.6, 100.8","16, 3",grey
"439.6, 130.8","16, 4",grey
"439.6, 160.8","16, 5",grey
"439.6, 190.8","16, 6",grey
"439.6, 220.8","16, 7",grey
"439.6, 250.8","16, 8",green
"439.6, 280.8","16, 9",blue
"439.6, 310.8","16, 10",blue
"439.6, 340.8","16, 11",blue
"439.6, 370.8","16, 12",green
"439.6, 400.8","16, 13",green
"439.6, 460.8","16, 15",green
"439.6, 490.8","16, 16",green
"439.6, 520.8","16, 17",green
"439.6, 550.8","16, 18",blue
"439.6, 580.8","16, 19",blue
"439.6, 610.8","16, 20",green
"439.6, 640.8","16, 21",green
"439.6, 670.8","16, 22",blue
"439.6, 700.8","16, 23",blue
"468.6, 40.8","17, 1",green
"468.6, 70.8","17, 2",grey
"468.6, 100.8","17, 3",grey
"468.6, 130.8","17, 4",grey
"468.6, 160.8","17, 5",grey
"468.6, 220.8","17, 7",green
"468.6, 250.8","17, 8",green
"468.6, 280.8","17, 9",green
"468.6, 310.8","17, 10",blue
"468.6, 340.8","17, 11",green
"468.6, 370.8","17, 12",green
"468.6, 400.8","17, 13",green
"468.6, 460.8","17, 15",green
"468.6, 490.8","17, 16",pink
"468.6, 520.8","17, 17",pink
"468.6, 550.8","17, 18",blue
"468.6, 580.8","17, 19",blue
"468.6, 610.8","17, 20",blue
"468.6, 640.8","17, 21",blue
"468.6, 670.8","17, 22",blue
"468.6, 700.8","17, 23",blue
"497.6, 40.8","18, 1",grey
"497.6, 70.8","18, 2",grey
"497.6, 100.8","18, 3",grey
"497.6, 130.8","18, 4",grey
"497.6, 160.8","18, 5",grey
"497.6, 190.8","18, 6",green
"497.6, 220.8","18, 7",green
"497.6, 280.8","18, 9",green
"497.6, 310.8","18, 10",green
"497.6, 340.8","18, 11",green
"497.6, 370.8","18, 12",green
"497.6, 400.8","18, 13",green
"497.6, 460.8","18, 15",green
"497.6, 490.8","18, 16",green
"497.6, 520.8","18, 17",green
"497.6, 550.8","18, 18",blue
"497.6, 580.8","18, 19",blue
"497.6, 610.8","18, 20",blue
"497.6, 640.8","18, 21",blue
"497.6, 670.8","18, 22",blue
"497.6, 700.8","18, 23",blue
"526.6, 40.8","19, 1",grey
"526.6, 70.8","19, 2",grey
"526.6, 100.8","19, 3",grey
"526.6, 130.8","19, 4",grey
"526.6, 160.8","19, 5",grey
"526.6, 190.8","19, 6",green
"526.6, 220.8","19, 7",green
"526.6, 280.8","19, 9",green
"526.6, 310.8","19, 10",green
"526.6, 340.8","19, 11",green
"526.6, 370.8","19, 12",green
"526.6, 400.8","19, 13",green
"526.6, 460.8","19, 15",green
"526.6, 490.8","19, 16",green
"526.6, 520.8","19, 17",blue
"526.6, 550.8","19, 18",blue
"526.6, 580.8","19, 19",blue
"526.6, 610.8","19, 20",blue
"526.6, 640.8","19, 21",blue
"526.6, 670.8","19, 22",blue
"526.6, 700.8","19, 23",blue
"555.6, 40.8","20, 1",grey
"555.6, 70.8","20, 2",grey
"555.6, 100.8","20, 3",grey
"555.6, 130.8","20, 4",grey
"555.6, 160.8","20, 5",green
"555.6, 190.8","20, 6",green
"555.6, 220.8","20, 7",green
"555.6, 250.8","20, 8",green
"555.6, 280.8","20, 9",green
"555.6, 310.8","20, 10",green
"555.6, 340.8","20, 11",green
"555.6, 370.8","20, 12",pink
"555.6, 400.8","20, 13",green
"555.6, 460.8","20, 15",green
"555.6, 490.8","20, 16",green
"555.6, 520.8","20, 17",green
"555.6, 550.8","20, 18",blue
"555.6, 580.8","20, 19",blue
"555.6, 640.8","20, 21",blue
"555.6, 670.8","20, 22",blue
"555.6, 700.8","20, 23",blue
"584.6, 40.8","21, 1",grey
"584.6, 70.8","21, 2",grey
"584.6, 100.8","21, 3",grey
"584.6, 130.8","21, 4",grey
"584.6, 160.8","21, 5",grey
"584.6, 190.8","21, 6",grey
"584.6, 220.8","21, 7",grey
"584.6, 250.8","21, 8",green
"584.6, 280.8","21, 9",green
"584.6, 310.8","21, 10",green
"584.6, 340.8","21, 11",green
"584.6, 370.8","21, 12",green
"584.6, 400.8","21, 13",green
"584.6, 460.8","21, 15",green
