"666, 399","29, 11",grey
"666, 443","29, 12",grey
"666, 487","29, 13",grey
"666, 531","29, 14",turq
"666, 575","29, 15",turq
"666, 619","29, 16",turq
"666, 663","29, 17",turq
"666, 707","29, 18",turq
"666, 751","29, 19",turq
"666, 795","29, 20",pink
"710, 399","30, 11",turq
"710, 531","30, 14",grey
"710, 575","30, 15",turq
"710, 619","30, 16",turq
"710, 663","30, 17",turq
"710, 707","30, 18",turq
"710, 751","30, 19",turq
"710, 795","30, 20",pink
"754, 531","31, 14",turq
"754, 575","31, 15",turq
"754, 619","31, 16",turq
"754, 663","31, 17",turq
"754, 707","31, 18",turq
"754, 751","31, 19",turq
